parksid,gardenname,jurisdiction,borough,address,cross_streets,zipcode,bbl,lotsize,areacovered,status,openhrssu,openhrsm,openhrstu,openhrsw,openhrsth,openhrsf,openhrssa,coundist,communityboard,nta,census_tract,congressionaldist,assemblydist,statesenatedist,policeprecinct,longitude,latitude,point_geometry_wgs84
B557-GT001,Living Laboratory Community Garden,DPR,Brooklyn,289 Bristol Street,Livonia Ave & Riverdale Ave,11212,3103588032,6111.0,Full Lot,Active,,,,,,,,41,316,BK81 /,924.0,8,55,25,73,-73.911271,40.664269,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC4\xB2\x99CRzR\xC0\x8F_?\xC4\x06UD@
B550-GT001,Keap Fourth Community Garden,DPR,Brooklyn,347 Keap Street,South 4th Street,11211,3024360120,,,Active,10:00 a.m. - 7:00 p.m.,10:00 a.m. - 7:00 p.m.,10:00 a.m. - 7:00 p.m.,10:00 a.m. - 7:00 p.m.,CLOSED,10:00 a.m. - 7:00 p.m.,10:00 a.m. - 7:00 p.m.,34,301,BK73 /,527.0,7,53,18,90,-73.954776,40.709161,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]\xC0\xCB\x0C\x1B}R\xC0\xA3L\xA3\xC9\xC5ZD@
B527-GT001,Hands & Heart (New Lots Urban Farm),DPR,Brooklyn,290 New Lots Avenue,New Lots Avenue At Alabama Avenue,11207,3038540011,2425.0,,Active,,,,,,,10:00 a.m. -  3:00 p.m.,42,305,BK85 /,1130.0,8,60,19,75,-73.895554,40.66074,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Us\xB9\xC1PyR\xC0\x5C\x94\xD9 \x93TD@
B493-GT001,Upon This Rock Community Garden,DPR,Brooklyn,2556 Pitkin Avenue,Montauk & Milford,11208,3040240013,3582.0,Full Lot,Active,,,,5:00 p.m. - 8:00 p.m.,,,10:00 a.m. - 5:00 p.m.,42,305,BK82 /,1194.0,8,54,19,75,-73.877838,40.674543,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE8Ko\x7F.xR\xC0v_\xCElWVD@
B486-GT001,Green Valley Garden,DPR,Brooklyn,93 New Lots Avenue,Powell Street and Sachman Street,11212,3038570027,1680.0,Full Lot,Active,,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,42,316,BK81 /,920.0,8,55,19,73,-73.901811,40.658185,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x13\x0B|E\xB7yR\xC0\xE0\xDB\xF4g?TD@
B482-GT001,Madison Hill Community Garden,DPR,Brooklyn,90 Madison Street,Bedford Avenue & Franklin Avenue,11216,3019900015,,,Active,11:00 a.m. - 4:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,11:00 a.m. - 4:00 p.m.,36,303,BK69 /,229.0,8,57,25,79,-73.955464,40.683926,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00X zR&}R\xC0+q\x1D\xE3\x8AWD@
B478-GT001,Jerry and the Senior Gents of E.N.Y.,DPR,Brooklyn,349 Schenck Avenue,Belmont & Pitkin Avenues,11207,3040120004,2499.0,Full Lot,Active,CLOSED,CLOSED,CLOSED,CLOSED,4:00 p.m. - 6:00 p.m.,CLOSED,10:00 a.m. - 6:00 p.m.,42,305,BK82 /,1150.0,8,54,19,75,-73.888066,40.672344,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00!\xAC\xC6\x12\xD6xR\xC0\xB7\xD4A^\x0FVD@
B443-GT001,Atkins Gardeners,DPR,Brooklyn,213 Atkins Avenue,Pitkin & Belmont Avenues,11208,3040230006,,,Not GreenThumb,7:00p - 9:00p,,6:00p - 8:00p,,,7:00p - 10:00p,7:00p - 10:00p,42,305,BK82 /,1194.0,8,54,19,75,-73.878525,40.673794,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xFA\xED\xEB\xC09xR\xC0\xDB\x1E\xBD\xE1>VD@
B438-GT001,721 Decatur Street Community Garden,DPR,Brooklyn,721 Decatur Street,Thomas Boyland Ave & Decatur St.,11233,3015030001,1520.0,Full Lot,Active,10:00 a.m. - 3:00 p.m.,CLOSED,CLOSED,CLOSED,8:00 a.m - 1:00 p.m,CLOSED,8:00 a.m - 1:00 p.m,41,316,BK79 /,373.0,8,55,25,73,-73.914086,40.683677,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD0\xEE\x90b\x80zR\xC0\x84\x03Z\xBA\x82WD@
B420-GT001,Umoja Garden,DPR,Brooklyn,1448 Broadway,Putnam Avenue.,11221,3014840031,,,Active,10:00 a.m. - 2:00 p.m.,5:00 p.m. - 7:00 p.m.,CLOSED,10:00 a.m. - 12:00 p.m.,CLOSED,CLOSED,10:00 a.m. - 2:00 p.m.,41,303,BK35 /,375.0,8,55,25,81,-73.919381,40.687957,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x15\xE4g#\xD7zR\xC0\xF3\x06\x98\xF9\x0EXD@
